num,sys
861,Online-Y
862,Online-Y
863,Online-Y
864,Online-Y
865,Online-Y
866,Online-Y
867,Online-Y
868,Online-Y
869,Online-Y
870,Online-Y
871,Online-Y
872,Online-Y
873,Online-Y
874,Online-Y
875,Online-Y
876,Online-Y
877,Online-Y
878,Online-Y
879,Online-Y
880,Online-Y
881,Online-Y
882,Online-Y
883,Online-Y
884,Online-Y
885,Online-Y
886,Online-Y
887,Online-Y
888,Online-Y
889,Online-Y
890,Online-Y
891,Online-Y
892,Online-Y
893,Online-Y
894,Online-Y
895,Online-Y
896,Online-Y
897,Online-Y
899,Online-Y
900,Online-Y
901,Online-Y
902,Online-Y
915,Online-Y
917,Online-Y
920,Online-Y
921,Online-Y
922,Online-Y
923,Online-Y
925,Online-Y
926,Online-Y
927,Online-Y
928,Online-Y
929,Online-Y
930,Online-Y
931,Online-Y
932,Online-Y
934,Online-Y
938,Online-Y
939,Online-Y
944,Online-Y
945,Online-Y
947,Online-Y
948,Online-Y
949,Online-Y
950,Online-Y
952,Online-Y
954,Online-Y
955,Online-Y
956,Online-Y
957,Online-Y
958,Online-Y
960,Online-Y
961,Online-Y
966,Online-Y
968,Online-Y
969,Online-Y
971,Online-Y
972,Online-Y
973,Online-Y
974,Online-Y
981,Online-Y
982,Online-Y
983,Online-Y
984,Online-Y
985,Online-Y
986,Online-Y
987,Online-Y
988,Online-Y
989,Online-Y
990,Online-Y
991,Online-Y
992,Online-Y
993,Online-Y
994,Online-Y
995,Online-Y
996,Online-Y
997,Online-Y
998,Online-Y
999,Online-Y
1000,Online-Y
1001,Online-Y
1002,Online-Y
1,Facebook-AI
2,Facebook-AI
3,Facebook-AI
4,Facebook-AI
5,Facebook-AI
6,Facebook-AI
7,Facebook-AI
8,Facebook-AI
9,Facebook-AI
10,Facebook-AI
11,Facebook-AI
12,Facebook-AI
13,Facebook-AI
14,Facebook-AI
15,Facebook-AI
16,Facebook-AI
17,Facebook-AI
18,Facebook-AI
19,Facebook-AI
20,Facebook-AI
21,Facebook-AI
22,Facebook-AI
