num,sys
871,translator-B
872,translator-B
873,translator-B
874,translator-B
875,translator-B
876,translator-B
877,translator-B
878,translator-B
879,translator-B
880,translator-B
881,translator-B
882,translator-B
883,translator-B
884,translator-B
885,translator-B
886,translator-B
887,translator-B
888,translator-B
889,translator-B
890,translator-B
891,translator-B
892,translator-B
893,translator-B
894,translator-B
895,translator-B
896,translator-B
897,translator-B
898,translator-B
899,translator-B
900,translator-B
901,translator-B
902,translator-B
903,translator-B
904,translator-B
905,translator-B
906,translator-B
907,translator-B
909,translator-B
910,translator-B
911,translator-B
912,translator-B
913,translator-B
914,translator-B
919,translator-B
920,translator-B
923,translator-B
941,translator-B
942,translator-B
943,translator-B
944,translator-B
945,translator-B
946,translator-B
947,translator-B
949,translator-B
951,translator-B
953,translator-B
954,translator-B
955,translator-B
956,translator-B
957,translator-B
959,translator-B
960,translator-B
961,translator-B
962,translator-B
963,translator-B
964,translator-B
965,translator-B
966,translator-B
967,translator-B
968,translator-B
969,translator-B
970,translator-B
971,translator-B
972,translator-B
973,translator-B
974,translator-B
976,translator-B
977,translator-B
978,translator-B
979,translator-B
980,translator-B
989,translator-B
990,translator-B
991,translator-B
992,translator-B
993,translator-B
994,translator-B
995,translator-B
996,translator-B
997,translator-B
998,translator-B
999,translator-B
1000,translator-B
1001,translator-B
